Customer,DBA Name,TDLR Number,City,State,Zip code
ON ROAD ROADSIDE ASSISTANCE COMPANY INC,,006479820C,SPRING,TX,77373
ON ROADSIDE ASSISTANCE AUSTIN INC,,006572976C,SPRING,TX,77373
RAFAEL ERNESTO CONSUEGRA,CONSUEGRA TOWING,006610135C,SPRING,TX,77373
RAPID HOOK LLC,RAPID AUTO,006586808C,SPRING,TX,77373
"S&Y ASSET RECOVERY, LLC",HARRIS COUNTY RECOVERY AGENCY,006501627C,SPRING,TX,77373
BERRETTA TOWING LLC,,006526116C,KATY,TX,77449
"CR7 TRANSPORT, LLC",RMA AUTO,006624317C,KATY,TX,77449
"GOLBOW'S GARAGE, INC.",,005052111C,KATY,TX,77449
HOMERO PROJECTS LLC,8TH WONDER TOWING,006611607C,KATY,TX,77449
JAVIER D MENDOZA,ASTROS TOWING,006569412C,KATY,TX,77449
JESUS ALVAREZ,HENRY TRANSPORT,006566882C,KATY,TX,77449
KATY TOWING & RECOVERY LLC,,006627880C,KATY,TX,77449
LEO'S WRECKER SERVICE LLC,,006589660C,KATY,TX,77449
MOHAMMED A. MAHANI,M & M TOWING,006482641C,KATY,TX,77449
QT TOWING LLC,,006622656C,KATY,TX,77449
REVILLA TOWING LLC,,006621344C,KATY,TX,77449
ROAD EXPERT TOWING LLC,ROAD SMART TOWING,006608224C,KATY,TX,77449
SAMUEL MEDINA,HARRIS & FT BEND COUNTY INVEST & REC,006499725C,KATY,TX,77449
ARTURO'S TOWING SERVICE,,006401242C,PASADENA,TX,77506
BEST RECYCLED AUTO PARTS LLC,,006583074C,PASADENA,TX,77506
HOMERO RIOS JR,RIFLOS TOWING,006619813C,PASADENA,TX,77506
JUAN ANGEL SANTANA JR,J SANTANA TOWING,006436998C,PASADENA,TX,77506
CHARLES ALYEA,ALL-STAR TOWING AND RECOVERY,006571695C,HOUSTON,TX,77015
EAST HOUSTON TOWING LLC,,005286745C,HOUSTON,TX,77015
HERNAN SANTA,SANTA'S TOWING,006451338C,HOUSTON,TX,77015
JIMBOS WRECKER SERVICES LLC,JIMBO'S WRECKER SERVICE,006428732C,HOUSTON,TX,77015
JOSE M GARZA,HERNANDEZ & SONS TOWING,006602370C,HOUSTON,TX,77015
JOSE MARTINEZ,PERFORMANCE TOWING,006545301C,HOUSTON,TX,77015
KERRY MAHARAJH,TOP NOTCH TOWING,006485224C,HOUSTON,TX,77015
LRKINGTRANSPORTLLC,,006568732C,HOUSTON,TX,77015
ASTRODOME TOWING SERVICES LLC,,006617841C,HOUSTON,TX,77034
JOSE SALINAS,REAPER TOWING & RECOVERY,006517590C,HOUSTON,TX,77034
KESHTA TOWING LLC,,006627500C,HOUSTON,TX,77034
MICHAEL ROMERO,STR8 TOWING,006553770C,HOUSTON,TX,77034
AJG ENTERPRISES LLC,ONE WAY TOWING,006615871C,HOUSTON,TX,77053
CARLOS BENITEZ,A PLUS CUSTOMS & RESTORATION,006533102C,HOUSTON,TX,77053
CARLOS BENITEZ,PRECISE TOWING & RECOVERY,006561136C,HOUSTON,TX,77053
CHRISTOPHER VILLAFUERTE,HOLLAND'S WRECKER SERVICE,006609275C,HOUSTON,TX,77053
CIRINO HERNANDEZ,LA FIESTA TOWING,006607743C,HOUSTON,TX,77053
EDWIN A CABEZA MOLINA,ANY TOWING,006617671C,HOUSTON,TX,77053
FERNANDO CARINO,FERNEYS WRECKER SERVICE,006487656C,HOUSTON,TX,77053
A1 WRECKER LLC,,006605701C,HOUSTON,TX,77072
JULIO MEZA,,006506031C,HOUSTON,TX,77072
L.ANGEL TOWING LLC,,006619192C,HOUSTON,TX,77072
"MICHEL KANAAN DEVELOPEMENT, INC.",NATION WIDE WRECKER SERVICE,006493002C,HOUSTON,TX,77072
SOUTH WEST TN WRECKER,SOUTHWEST TN WRECKER SERVICES,006413142C,HOUSTON,TX,77072
ARMANDO GARCIA,AMERICA AUTOMOTIVE,006523053C,HOUSTON,TX,77091
ASHA AUTOMOTIVE INC,CAR KING TOWING,006423648C,HOUSTON,TX,77091
JORGE SANTANA,SANTANA TOWING & WALKER COUNTY STORAGE,005075603C,HOUSTON,TX,77091
JOVEL WRECKER SERVICE,,006434857C,HOUSTON,TX,77091
SPACE CITY AUTOMOTIVE,,006535503C,HOUSTON,TX,77091
"ACE RECOVERY, LLC",,006619603C,TOMBALL,TX,77375
ELLEN D SMITH,S & B STORAGE,006606562C,TOMBALL,TX,77375
PRIME TIME TOWING,,006565150C,TOMBALL,TX,77375
S&B STORAGE AND TOWING LLC,,006532722C,TOMBALL,TX,77375
SKY CARGO TEXAS LLC,,006625668C,TOMBALL,TX,77375
77450,No results,,,,
77507,No results,,,,
ARZOLA AUTO TRANSPORT,,006465870C,HOUSTON,TX,77016
LEE STEPHENS,STEPHENS WRECKER SERVICE,005238911C,HOUSTON,TX,77016
MARSHALL WRECKER SERVICE,,005323657C,HOUSTON,TX,77016
PAZ LIZAMA-GUZMAN,HOUSTON SCRAP METAL RECYCLING,006582623C,HOUSTON,TX,77016
RIVERA TOWING,,006403124C,HOUSTON,TX,77016
B & B MAIN ST AUTO STORAGE,,0647889VSF,HOUSTON,TX,77035
KESSEM MERHAJI,ZAHRA TOWING,006574468C,HOUSTON,TX,77035
MINETTA AUTO STORAGE LLC,,006513336C,HOUSTON,TX,77035
RAMOS WRECKER SERVICE LLC,,005914938C,HOUSTON,TX,77035
TIMEWISE CORPORATION,ROADNET,006557181C,HOUSTON,TX,77035
TOW-AHOLIC WRECKER SERVICE LLC,TOW-AHOLIC,006461756C,HOUSTON,TX,77035
77054,No results,,,,
ALL-TEJAS TOWING & RECOVERY LLC,,006608254C,HOUSTON,TX,77073
CHARLES R JENNINGS,C & L TOWING,006480842C,HOUSTON,TX,77073
MARDOQUEO HERNANDEZ,2 M'S TOWING SERVICE,006583744C,HOUSTON,TX,77073
SPRING KLEIN AUTO & TRUCK,,006563318C,HOUSTON,TX,77073
JAIME CHAVEZ JR,ABN TOWING,006573136C,HUNTSVILLE,TX,77092
MOEANDFAMILY LLC,EPIC TOWING,006621935C,HOUSTON,TX,77092
ZEUS TOWING SERVICE,ZEUS TOWING SERVICE,006411761C,HOUSTON,TX,77092
HAMRA ENTERPRISE INC,INFINITY TOWING SVC,005726577C,TOMBALL,TX,77377
MICHAEL HERRETH,MCK MOTORS / WESTEND STORAGE/HUB WRECKER,005037880C,TOMBALL,TX,77377
COLLISION CLINIC LLC,,005023969C,MISSOURI CITY,TX,77459
ELIAS INVESTMENTS INC,MURPHY TOWING,006525445C,MISSOURI CITY,TX,77459
JERSEY BOY GROUP INC,A2 TWIN TOWING,006619703C,MISSOURI CITY,TX,77459
SLAND DEVELOPMENT LLC,COLONY TOWING,006560485C,MISSOURI CITY,TX,77459
BAY AREA RADIATOR & AUTO ELECTRIC INC,BAY AREA TOWING SERVICE,005731157C,BAYTOWN,TX,77520
BAYTOWN TOWING & RECOVERY LLC,,005102556C,BAYTOWN,TX,77520
JESSE OLIVARES,J&J AUTOTOWING,006481082C,BAYTOWN,TX,77520
LINDSEYS AUTOMOTIVE LLC,,005053171C,BAYTOWN,TX,77520
ECLIPSE TOWING & RECOVERY,,006543160C,HOUSTON,TX,77017
TEXAS BEST TOWING AND COLLISION INC,,006545471C,HOUSTON,TX,77017
CARLOS ROJAS,NELCAR AUTO SALES,006243964C,HOUSTON,TX,77036
DRA COLLISION CENTER INC,TRACTION COLLISION,006556741C,HOUSTON,TX,77036
HOUSTON TOWING & TRANSPORTATION,HOUSTON AUTO SERVICES/HEART,006477919C,HOUSTON,TX,77036
JEFFREY NEWMAN,BELLAIRE TOWING,005510874C,HOUSTON,TX,77036
THE CENTER @ PARKWAY INC,SOINC EXPRESS CAR CARE,006446445C,HOUSTON,TX,77036
AYH GROUP LLC,CLICK TOWING,006593752C,HOUSTON,TX,77055
"CHOI'S AUTO CARE & TOWING, LLC",,006581032C,HOUSTON,TX,77055
HERMILO BEIZA,BEIZA'S BODY SHOP,005064282C,HOUSTON,TX,77074
KHALID JAFRI,ANFA TOWING,006617591C,HOUSTON,TX,77074
OSWALDO ACEVES,SPEEDY TOWING SERVICE,006450047C,HOUSTON,TX,77074
WARDER FUNES,C-W TOWING,006606652C,HOUSTON,TX,77074
ALLSTAR RECOVERY ADJUSTERS LLC,,006592561C,HOUSTON,TX,77093
AMBER SANTOS,H TOWING,006625938C,HOUSTON,TX,77093
CATRACHO'S WRECKER CORPORATION,,006490229C,HOUSTON,TX,77093
EDGAR OMAR ORTEGA GARCIA,OMAR'S WRECKERS,006618452C,HOUSTON,TX,77093
FERNANDO RODRIGUEZ,FERNANDO'S TOWING,006465850C,HOUSTON,TX,77093
JUAN ALVARADO,ANGIOS TOWING,006599067C,HOUSTON,TX,77093
JUAN CERVANTES,J HOOK TOWING,006430943C,HOUSTON,TX,77093
JUAN IGNACIO GARCIA,REGIO'S WRECKER SERVICE,006316318C,HOUSTON,TX,77093
JUANITA MARTINEZ,M & J TOWING AND RECOVERY,006532752C,HOUSTON,TX,77093
LINDALE WRECKER SERVICE,,006439949C,HOUSTON,TX,77093
MILLER & SON WRECKER SERVICE,,005062212C,HOUSTON,TX,77093
RUSSELL BRYANT LOPEZ,6A'S TOWING,006566421C,HOUSTON,TX,77093
TEXAS IRON ADDICTZ TOWING & RECOVERY LLC,,006620814C,HOUSTON,TX,77093
"XTREME RECOVERY, LLC",,006615030C,HOUSTON,TX,77093
ZONE 3 COLLISION CENTER LLC,,006119336C,HOUSTON,TX,77093
RICARDO MACIAS,ROCK OF ANGELS,006335550C,SPRING,TX,77379
TEXAS TOW PROS LLC,,006596765C,SPRING,TX,77379
TOW SQUAD&RECOVERY LLC,,006541178C,SPRING,TX,77379
59 SOUTH TOWING LLC,,006622405C,RICHMOND,TX,77469
613 TOWING LLC,,006628030C,RICHMOND,TX,77469
A&S SELECT MANAGEMENT GROUP LLC,ALL AMERICAN TOWING,006611237C,RICHMOND,TX,77469
BY ACCIDENT INC.,OFF THE HOOK TOWING & RECOVERY,006139437C,RICHMOND,TX,77469
GRAND PARKWAY WRECKER SERVICE LLC,,006583734C,RICHMOND,TX,77469
"MARIO'S PAINT AND BODY,INC.",,005058881C,RICHMOND,TX,77469
MIKE'S WRECKER SERVICE,,005574568C,RICHMOND,TX,77469
MTR SPORTS INC,MOTORSPORTS WRECKER,006560976C,RICHMOND,TX,77469
PIONEER AUTO GROUP LLC,,006558723C,RICHMOND,TX,77469
ROAD EMERGENCY SERVICES LLC,,006601680C,ROSENBERG,TX,77469
ROYAL WRECKER SERVICE INC,,006525615C,RICHMOND,TX,77469
RUSSELL ROSSETT,PLATINUM WRECKER,006553519C,RICHMOND,TX,77469
TWIN CITIES TOWING INC,,006490329C,RICHMOND,TX,77469
TWIN CITIES TOWING INC,DOWN RITE TOWING,006505040C,RICHMOND,TX,77469
CALIBER WRECKER SERVICE LLC,,006598046C,CHANNELVIEW,TX,77530
2 BROTHER'S WRECKER SERVICE LLC,,006621234C,CHANNELVIEW,TX,77530
ALEX CANALES,NORTHEAST WRECKER SERVICE,006456562C,CHANNELVIEW,TX,77530
BLACK KNIGHT WRECKER SERVICE LLC,,006610326C,CHANNELVIEW,TX,77530
E&L WRECKER SERVICE LLC,,006595754C,CHANNELVIEW,TX,77530
FINELINE AUTO SALES LLC,FINELINE TOWING,006596064C,CHANNELVIEW,TX,77530
GROMEX CONVERTERS LTD. CO.,,006598967C,CHANNELVIEW,TX,77530
KEYS WRECKER SERVICE,,005168084C,CHANNELVIEW,TX,77530
LEE CALLAWAY,CALLAWAY COLLISION,006528829C,CHANNELVIEW,TX,77530
TEX-MAR TOWING & RECOVERY INC,,006493222C,CHANNELVIEW,TX,77530
CORPORATE AUTO SERVICES INC,MILLER'S AUTO & BODY REPAIR,005149372C,HOUSTON,TX,77018
CROSSROADS WRECKER SERVICE,,0000037499,HOUSTON,TX,77018
ONLYTOW WRECKER SERVICE LLC,,006602790C,HOUSTON,TX,77018
PREMIER TOWING & TRANSPORT INC.,,006529649C,HOUSTON,TX,77018
VEHICLE RELOCATION SPECIALIST,VEHICLE RELOCATION SPECIALIST,006507741C,HOUSTON,TX,77018
WILLIAM H ZAJICEK,WILL Z TOWING,006560145C,HOUSTON,TX,77018
AIRLINE WRECKER SERVICE,,005754511C,HOUSTON,TX,77037
HIDDEN VALLEY WRECKER INC,,006494061C,HOUSTON,TX,77037
JOSE HIPOLITO AYALA,J.A. TOWING,006619723C,HOUSTON,TX,77037
LUIS ALFONSO AUGUILAR HERNANDEZ,ASTRAL CITY TOWING,006582083C,HOUSTON,TX,77037
MIGUEL ORTEGA,MIKE WRECKER SERVICE,005828568C,HOUSTON,TX,77037
"0601 WRECKER SERVICE, LLC",,006607873C,HOUSTON,TX,77056
HITCH TOWING LLC,,006613699C,HOUSTON,TX,77056
ROYAL WAY SHIPPING LLC,ROYAL WAY TOWING,006627159C,HOUSTON,TX,77056
ALFREDO HERNANDEZ,ALFREDO'S WRECKER SERVICE,005050911C,HOUSTON,TX,77075
GEMINI TOWING LLC,,006522342C,HOUSTON,TX,77075
JESUS CANO,JVJ MOTION,005121388C,HOUSTON,TX,77075
JORGE BOTELLO,REDLINE TOWING & RECOVERY,006543110C,HOUSTON,TX,77075
JR AMIGOS CARS & TRUCKS LLC,,006540228C,HOUSTON,TX,77075
JUAN M. ORTA,ORVA'S TOWING,006327039C,HOUSTON,TX,77075
MARIO ESCOBAR,M ESCOBAR TOWING,006566081C,HOUSTON,TX,77075
NJC ASSET REPO LLC,,006516489C,HOUSTON,TX,77075
SALVADOR MARTINEZ,EL CHAVO TOWING,006525896C,HOUSTON,TX,77075
77094,No results,,,,
MAMOUN BADER,MOON TOWING,006627219C,SPRING,TX,77380
SMOOTH FLOW TOWING LLC,,006613719C,SPRING,TX,77380
77472,No results,,,,
4 ACES TOWING & RECOVERY LLC,,006559804C,CROSBY,TX,77532
A&S ROADSIDE LLC,,006596515C,CROSBY,TX,77532
BEST WAY TOWING LLC,,006596725C,CROSBY,TX,77532
LARRY TUBBS,TUBBS TOWING,006544242C,CROSBY,TX,77532
77019,No results,,,,
JOSE A PARADA,UNIVERSAL MOTORS AUTO REPAIR,006407437C,HOUSTON,TX,77038
METRO INVESTIGATION AND RECOVERY SOLUTIO,,006511994C,HOUSTON,TX,77038
OMEGA TOWING & RECOVERY LLC,,006566491C,HOUSTON,TX,77038
"UNDERGROUND TOWING AND RECOVERY, LLC",,006599678C,HOUSTON,TX,77038
ALPHA OMEGA ROADSIDE SERVICE LLC,,006523353C,HOUSTON,TX,77057
ESW TOWING LLC,ESW TOWING LLC,006528549C,HOUSTON,TX,77057
EURO STAR PARKING MANAGEMENT LLC,,006555762C,HOUSTON,TX,77057
EZ COLLISION LLC,EZ AUTO DRIVE,006532161C,HOUSTON,TX,77057
HOLLIMON TOWING LLC,,006607223C,HOUSTON,TX,77057
NA TOWING INC,,006552369C,HOUSTON,TX,77057
NAEL JALAMNEH,V1 TOWING,006525345C,HOUSTON,TX,77057
PRESTIGE AUTO TOWING LLC,,006611557C,HOUSTON,TX,77057
ANA MORALES,SM TOWING,006533072C,HOUSTON,TX,77076
"CORTEZ, CRUZ A.",,006001876C,HOUSTON,TX,77076
HECTOR JUAREZ,JUAREZ WRECKER SERVICE,006530079C,HOUSTON,TX,77076
JOSE A VILLEGAS SR,VILLEGAS TOWING SERVICES,006587188C,HOUSTON,TX,77076
BAIRES MANAGEMENT INC,BAIRES TRANSPORTATION,006626589C,HOUSTON,TX,77095
CY CREEK TOWING & RECOVERY,,005064992C,HOUSTON,TX,77095
CYPRESS 529 TOWING LLC,CYPRESS 529,006567871C,HOUSTON,TX,77095
L & RIVERON TRANSPORT LLC,,006621855C,HOUSTON,TX,77095
SASA STARS AND SONS INC.,READY AUTO TOW,006560675C,HOUSTON,TX,77095
WORLD TECH AUTO SERVICE & BODY LLC,,006121566C,HOUSTON,TX,77095
77381,No results,,,,
"A WRECKER SERVICE,LLC",A WRECKER SERVICE,006060211C,STAFFORD,TX,77477
AMERICAN AUTO TOWING,,006435587C,STAFFORD,TX,77477
"FORT BEND IMPOUND & RECOVERY, INC.",,005753961C,STAFFORD,TX,77477
LONGS TOWING LLC,,006566701C,STAFFORD,TX,77477
"MAKANSAM, INC",IDEAL TOWING,005746079C,STAFFORD,TX,77477
SUGAR LAND SERVICES LLC,,006531550C,STAFFORD,TX,77477
77536,No results,,,,
EL CHAPIN TRANSPORT LLC,,006530860C,HOUSTON,TX,77020
HTOWN PARKING SOLUTIONS LLC,TEXAS PARKING SOLUTIONS,006604772C,HOUSTON,TX,77020
MILAM STREET AUTO STORAGE INC,FAST TOW & ZONE ONE AUTO STORAGE,005036689C,HOUSTON,TX,77020
ALLAN MOTORS & WRECKER SERVICE LLC,,006582323C,HOUSTON,TX,77039
"ASSET RES SERVICES, LLC",PARADIGM RECOVERY SERVICES,006558202C,HOUSTON,TX,77039
ASSETS R. INC,ASSET RESOLUTIONS,006526637C,HOUSTON,TX,77039
ELVIRA ELIZABETH GUERRERO,FE AUTO SALES,006597135C,HOUSTON,TX,77039
K & K WRECKER,K & K WRECKER SV,005221628C,HOUSTON,TX,77039
MARKET AUTO TRADE LLC,,005919698C,HOUSTON,TX,77039
PATRICK ZAGAR,GATOR TOWING,006569723C,HOUSTON,TX,77039
"PREMIER ADJUSTERS, INC.",,005065422C,HOUSTON,TX,77039
RAFAEL ROMANO,ROMANO WRECKER SERVICE,006598867C,HOUSTON,TX,77039
SUPERIOR DIESEL INC,,006531350C,HOUSTON,TX,77039
77058,No results,,,,
HOUSTON ROAD RUNNER INC,,006546162C,HOUSTON,TX,77077
SIMCO TRANSPORT & TOWING LLC,,006623376C,HOUSTON,TX,77077
E L N INC,AMERICAN WRECKER COMPANY,006565140C,HOUSTON,TX,77096
RANGER TOW,,006422488C,HOUSTON,TX,77096
FRAZIER TOWING LLC,,006592181C,SPRING,TX,77382
KOLEON SERVICES LLC,,006615110C,THE WOODLANDS,TX,77382
"A.C. AUTOMOTIVE, INC.",,006583524C,SUGAR LAND,TX,77478
AL-AMANA TOWING,,006407827C,SUGAR LAND,TX,77478
PRO WRECKER ENTERPRISES LLC,ALFA AUTO SERVICES,006506392C,SUGAR LAND,TX,77478
"E & E TOWING, LLC",,006582043C,FRIENDSWOOD,TX,77546
FERNANDO GARZA,MTY RECOVERY AND SERVICES,006524304C,FRIENDSWOOD,TX,77546
LUIS GUEVARA,GUEVARA TOWING,006449697C,FRIENDSWOOD,TX,77546
